Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11455485,Satantango,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""0811217345""","=""9780811217347""",0,New Directions,Hardcover,274,2012,1985,,2025/10/09,to-read,to-read (#16),to-read,,,,0,0
123382504,Heart of Darkness (A classics illustrated novel by Joseph Conrad),Joseph Conrad,"Conrad, Joseph",,"=""""","=""""",3.0,,Kindle Edition,126,2022,1899,2025/08/11,2025/08/09,physically-owned,physically-owned (#53),read,"A short read and I feel like its way too compressed. And since I read this alongside Moby Dick I kind of think that the narration of the scenes is way better than M.D. but I still find myself confused with the flow of the events. I don’t know if Conrad is a racist or not but it shows in his writing lol, which I’m not really a big fan of. But I still commend some good lines when the narrator is introspecting about life and death.<br/><br/>——<br/><br/>P.S. I kind of thought Marlow and Kurtz has this close intimacy but not in a romantic way, just kind of gay LMFAO considering its written in 18th/19th century.😭",,,1,0
406373,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Walter Kaufmann,"=""0385031149""","=""9780385031141""",0,Vintage,Paperback,503,1962,1808,,2025/08/09,"to-read, physically-owned","to-read (#15), physically-owned (#55)",to-read,,,,0,0
69590997,Hamlet By William Shakespeare Annotated.,William Shakespeare,"Shakespeare, William",,"=""""","=""9798478180232""",0,Independently published,Hardcover,183,2021,1601,,2025/08/09,"to-read, physically-owned","to-read (#14), physically-owned (#54)",to-read,,,,0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",0,Penguin Classics ,Paperback,720,2003,1851,,2024/02/02,"physically-owned, currently-reading","physically-owned (#17), currently-reading (#5)",currently-reading,,,,1,0
56697830,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",4.0,,Kindle Edition,1198,2021,1878,2025/07/31,2025/03/17,"physically-owned, russian-literature","physically-owned (#45), russian-literature (#5)",read,"It took me a while to write this review after finishing the book last month. I had to be in the right mental space to give it a proper yapping.<br/><br/>Let me be clear: I disliked the plot and the characters. Why? Because the entire premise revolves around infidelity—and worse, it romanticizes it. The main couple’s attempts to justify and persist in their transgressions, while shamelessly flaunting their relationship in the face of high society, baffled me, much like Hester Prynne did in The Scarlet Letter. And I’ll admit it: I’m not mature enough to rationalize or excuse their behavior. Just like with Wuthering Heights, I couldn’t stand the characters, nor was I interested in trying to understand them. <br/><br/>But here’s the thing: I still read all 800+ pages because Tolstoy’s prose (and this translation in particular) deserves admiration. His writing is compelling. He uses different types of characters and explored several themes, particularly on the second couple that balances the whole story. Furthermore, the way he crafted characters I deeply despised is a proof to his skill. He made me feel something visceral, even if it was disgust. That, in itself, is a good storytelling.<br/><br/>So no, I didn’t love the story. But I respect the craft. It’s a 3.5/5 for me.",,,1,0
18505774,The Art of Thinking Clearly,Rolf Dobelli,"Dobelli, Rolf",,"=""0062219693""","=""9780062219695""",1.0,Harper Paperbacks,Paperback,384,2014,2011,2025/07/31,2025/05/09,"physically-owned, self-help","physically-owned (#50), self-help (#23)",read,"I gave this book a chance despite wanting to drop it multiple times. I enjoyed reading this around 20 snippets during my free time, while eating and on the road. I even analyze and share most of my thoughts and when there’s chapter I couldn’t grasp I paused—thinking I’m just in a different mental space—or so I thought. The heck, it gets worse. I barely understand some points because the analogies and citations aren’t even matching up properly to the idea. The writing was insufferable; it’s all over the place and I felt like I was wasting my time throughout the latter readings. I could tolerate a more in-depth analysis on those fallacies, not just some pity nonsense explanations that doesn’t even help to expand the idea. Most stuffs are also just common sense. I even tried to check others’ reviews just in case it’s just me who misinterpret this book—but alas, I share the sentiments. I really regret spending my money on this book.",,,1,0
57393737,A Gentle Reminder,Bianca Sparacino,"Sparacino, Bianca",,"=""1949759296""","=""9781949759297""",4.0,Thought Catalog Books,Paperback,152,2021,2021,2025/05/01,2025/07/30,,,read,,,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,Penguin Books,Paperback,254,2006,180,,2025/06/25,"to-read, physically-owned","to-read (#13), physically-owned (#52)",to-read,,,,0,0
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","Hugh Tredennick, J.A.K. Thomson, Jonathan Barnes","=""0140449493""","=""9780140449495""",0,Penguin Classics,Paperback,329,2004,-350,,2025/06/25,"to-read, physically-owned","to-read (#12), physically-owned (#51)",to-read,,,,0,0
